Registration Date,Count
03.02.2020,15
03.02.2021,11
03.02.2022,8
03.02.2023,13
03.02.2024,4
03.02.2025,11
03.03.2011,19
03.03.2012,2
03.03.2013,8
03.03.2014,8
03.03.2017,5
03.03.2018,5
03.03.2019,6
03.03.2020,7
03.03.2021,33
03.03.2022,1
03.03.2023,8
03.03.2024,2
03.03.2025,2
03.04.2011,9
03.04.2012,19
03.04.2013,22
03.04.2014,10
03.04.2017,21
03.04.2018,6
03.04.2019,14
03.04.2020,5
03.04.2021,3
03.04.2022,2
03.04.2023,27
03.04.2024,12
03.04.2025,12
03.05.2011,17
03.05.2012,8
03.05.2013,2
03.05.2014,2
03.05.2017,10
03.05.2018,11
03.05.2019,22
03.05.2020,6
03.05.2021,3
03.05.2022,9
03.05.2023,8
03.05.2024,1
03.06.2011,16
03.06.2012,6
03.06.2013,20
03.06.2017,3
03.06.2018,3
03.06.2019,6
03.06.2020,14
03.06.2021,16
03.06.2022,14
03.06.2023,2
03.06.2024,17
03.06.2025,16
03.07.2011,13
03.07.2012,16
03.07.2013,16
03.07.2016,9
03.07.2017,14
03.07.2018,10
03.07.2019,10
03.07.2020,13
03.07.2021,4
03.07.2022,3
03.07.2023,10
03.07.2024,9
03.07.2025,12
03.08.2011,10
03.08.2012,17
03.08.2013,4
03.08.2016,23
03.08.2017,15
03.08.2018,6
03.08.2019,2
03.08.2020,5
03.08.2021,17
03.08.2022,15
03.08.2023,9
03.08.2024,1
03.08.2025,1
03.09.2011,6
03.09.2012,12
03.09.2013,20
03.09.2016,9
03.09.2017,6
03.09.2018,7
03.09.2019,11
03.09.2020,3
03.09.2021,13
03.09.2022,2
03.09.2023,2
03.09.2024,13
03.09.2025,7
03.10.2011,17
03.10.2012,5
03.10.2013,20
03.10.2016,19
03.10.2017,11
03.10.2018,7
03.10.2019,5
03.10.2020,2
03.10.2021,2
03.10.2022,16
03.10.2023,16
03.10.2024,15
03.10.2025,6
03.11.2011,7
03.11.2012,3
03.11.2013,4
03.11.2016,15
03.11.2017,7
03.11.2018,7
03.11.2019,5
03.11.2020,8
03.11.2021,9
03.11.2022,15
03.11.2023,9
03.11.2024,2
03.11.2025,9
03.12.2011,9
03.12.2012,9
03.12.2013,11
03.12.2016,7
03.12.2017,3
03.12.2018,16
03.12.2019,7
03.12.2020,9
03.12.2021,43
03.12.2022,4
03.12.2023,1
03.12.2024,16
04.01.2011,48
04.01.2012,16
04.01.2013,14
04.01.2014,7
04.01.2017,19
04.01.2018,8
04.01.2019,7
04.01.2020,3
04.01.2021,1
04.01.2022,6
04.01.2023,3
04.01.2024,7
04.01.2025,3
04.02.2011,42
04.02.2012,4
04.02.2013,19
04.02.2014,23
04.02.2017,12
04.02.2018,6
04.02.2019,23
04.02.2020,10
04.02.2021,8
04.02.2022,10
04.02.2023,5
04.02.2024,5
04.02.2025,16
04.03.2011,37
04.03.2012,4
04.03.2013,12
04.03.2014,15
04.03.2017,9
04.03.2018,8
04.03.2019,14
04.03.2020,13
04.03.2021,80
04.03.2022,9
04.03.2023,5
04.03.2024,17
04.03.2025,15
04.04.2011,31
04.04.2012,23
04.04.2013,20
04.04.2014,10
04.04.2017,14
04.04.2018,14
04.04.2019,11
04.04.2020,2
04.04.2021,3
04.04.2022,18
04.04.2023,14
04.04.2024,8
04.04.2025,6
04.05.2011,25
04.05.2012,5
04.05.2013,5
04.05.2014,4
04.05.2017,9
04.05.2018,7
04.05.2019,2
04.05.2020,3
04.05.2021,10
04.05.2022,5
04.05.2023,9
04.05.2024,1
04.05.2025,2
04.06.2011,3
04.06.2012,12
04.06.2013,30
04.06.2017,2
04.06.2018,11
04.06.2019,4
04.06.2020,9
04.06.2021,16
04.06.2022,1
04.06.2024,15
04.06.2025,4
04.07.2011,10
04.07.2012,11
04.07.2013,17
04.07.2016,17
04.07.2017,8
04.07.2018,5
04.07.2019,7
04.07.2020,5
04.07.2021,3
04.07.2022,11
04.07.2023,15
04.07.2024,10
04.07.2025,6
04.08.2011,15
04.08.2012,3
04.08.2013,3
04.08.2016,18
04.08.2017,13
04.08.2018,5
04.08.2019,3
04.08.2020,11
04.08.2021,20
04.08.2022,12
04.08.2023,11
04.08.2024,3
04.08.2025,13
04.09.2011,4
04.09.2012,14
04.09.2013,12
04.09.2016,3
04.09.2017,13
04.09.2018,6
04.09.2019,12
04.09.2020,10
04.09.2021,1
04.09.2022,3
04.09.2023,12
04.09.2024,7
04.09.2025,11
04.10.2011,11
04.10.2012,3
04.10.2013,9
04.10.2016,12
04.10.2017,11
04.10.2018,10
04.10.2019,9
04.10.2020,6
04.10.2021,13
04.10.2022,16
04.10.2023,16
04.10.2024,6
04.10.2025,3
04.11.2011,3
04.11.2012,5
04.11.2013,12
04.11.2016,11
04.11.2017,3
04.11.2018,2
04.11.2019,9
04.11.2020,9
04.11.2021,7
04.11.2022,10
04.11.2023,2
04.11.2024,11
04.11.2025,7
04.12.2011,4
04.12.2012,10
04.12.2013,16
04.12.2016,5
04.12.2017,17
04.12.2018,15
04.12.2019,15
04.12.2020,7
04.12.2021,9
04.12.2022,5
04.12.2023,22
04.12.2024,16
05.01.2011,56
05.01.2012,18
05.01.2013,4
05.01.2014,7
05.01.2017,16
05.01.2018,13
05.01.2019,3
05.01.2020,4
05.01.2021,3
05.01.2022,9
05.01.2023,10
05.01.2024,4
05.01.2025,7
05.02.2011,21
05.02.2012,6
05.02.2013,28
05.02.2014,20
05.02.2017,5
05.02.2018,17
05.02.2019,7
05.02.2020,17
05.02.2021,9
05.02.2022,2
05.02.2023,3
05.02.2024,16
05.02.2025,14
05.03.2011,17
05.03.2012,14
05.03.2013,13
05.03.2014,23
05.03.2017,7
05.03.2018,21
05.03.2019,11
05.03.2020,10
05.03.2021,57
05.03.2022,5
05.03.2023,5
05.03.2024,11
05.03.2025,5
05.04.2011,32
05.04.2012,13
05.04.2013,24
05.04.2014,8
05.04.2017,17
05.04.2018,13
05.04.2019,5
05.04.2020,3
05.04.2021,11
05.04.2022,10
05.04.2023,10
05.04.2024,6
05.04.2025,4
05.05.2011,17
05.05.2012,7
05.05.2014,11
05.05.2017,7
05.05.2018,7
05.05.2019,4
05.05.2020,4
05.05.2021,10
05.05.2022,6
05.05.2023,6
05.05.2024,1
05.05.2025,6
05.06.2011,9
05.06.2012,13
05.06.2013,24
05.06.2017,14
05.06.2018,20
05.06.2019,12
05.06.2020,9
05.06.2021,4
05.06.2022,1
05.06.2023,16
05.06.2024,12
05.06.2025,10
05.07.2011,18
05.07.2012,13
05.07.2013,15
05.07.2016,15
05.07.2017,13
05.07.2018,9
05.07.2019,6
05.07.2020,3
05.07.2021,14
05.07.2022,15
05.07.2023,5
05.07.2024,7
05.07.2025,2
05.08.2011,7
05.08.2012,3
05.08.2013,18
05.08.2016,12
05.08.2017,6
05.08.2018,3
05.08.2019,12
05.08.2020,11
05.08.2021,12
05.08.2022,20
05.08.2023,4
05.08.2024,20
05.08.2025,7
05.09.2011,12
05.09.2012,9
05.09.2013,13
05.09.2016,12
05.09.2017,9
05.09.2018,7
05.09.2019,12
05.09.2020,3
05.09.2021,7
05.09.2022,10
05.09.2023,7
05.09.2024,6
05.09.2025,16
05.10.2011,16
05.10.2012,6
05.10.2013,7
05.10.2016,21
05.10.2017,10
05.10.2018,6
05.10.2020,6
05.10.2021,20
05.10.2022,17
05.10.2023,12
05.10.2024,2
05.10.2025,5
05.11.2011,2
05.11.2012,8
05.11.2013,16
05.11.2016,8
05.11.2017,2
05.11.2018,10
05.11.2019,6
05.11.2020,5
05.11.2021,11
05.11.2022,4
05.11.2023,10
05.11.2024,13
05.11.2025,17
05.12.2011,14
05.12.2012,16
05.12.2013,21
05.12.2016,29
05.12.2017,18
05.12.2018,11
05.12.2019,12
05.12.2020,5
05.12.2021,11
05.12.2022,19
05.12.2023,24
05.12.2024,10
06.01.2011,56
06.01.2012,16
06.01.2013,4
06.01.2014,18
06.01.2017,16
06.01.2018,7
06.01.2019,3
06.01.2020,10
06.01.2021,5
06.01.2022,8
06.01.2023,3
06.01.2024,7
06.01.2025,7
06.02.2011,17
06.02.2012,16
06.02.2013,33
06.02.2014,15
06.02.2017,18
06.02.2018,21
06.02.2019,8
06.02.2020,14
06.02.2021,5
06.02.2022,4
06.02.2023,11
06.02.2024,8
06.02.2025,13
06.03.2011,9
06.03.2012,13
06.03.2013,16
06.03.2014,18
06.03.2017,23
06.03.2018,12
06.03.2019,23
06.03.2020,14
06.03.2021,14
06.03.2022,4
06.03.2023,18
06.03.2024,7
06.03.2025,17
06.04.2011,28
06.04.2012,12
06.04.2013,2
06.04.2014,7
06.04.2017,17
06.04.2018,6
06.04.2019,11
06.04.2020,4
06.04.2021,19
06.04.2022,8
06.04.2023,11
06.04.2024,4
06.04.2025,2
06.05.2011,13
06.05.2012,1
06.05.2013,6
06.05.2014,11
06.05.2017,3
06.05.2018,5
06.05.2019,13
06.05.2020,1
06.05.2021,5
06.05.2022,13
06.05.2023,2
06.05.2025,3
06.06.2011,27
06.06.2012,15
06.06.2013,17
06.06.2017,21
06.06.2018,10
06.06.2019,7
06.06.2020,3
06.06.2021,6
06.06.2022,11
06.06.2023,6
06.06.2024,12
06.06.2025,4
06.07.2011,15
06.07.2012,12
06.07.2013,10
06.07.2016,29
06.07.2017,10
06.07.2018,4
06.07.2019,8
06.07.2020,14
06.07.2021,22
06.07.2022,16
06.07.2023,10
06.07.2024,2
06.07.2025,3
06.08.2011,2
06.08.2012,15
06.08.2013,15
06.08.2016,1
06.08.2017,6
06.08.2018,8
06.08.2019,17
06.08.2020,8
06.08.2021,8
06.08.2022,2
06.08.2023,4
06.08.2024,7
06.08.2025,11
06.09.2011,24
06.09.2012,9
06.09.2013,7
06.09.2016,10
06.09.2017,15
06.09.2018,7
06.09.2019,6
06.09.2020,4
06.09.2021,30
06.09.2022,18
06.09.2023,9
06.09.2024,18
06.09.2025,3
06.10.2011,10
06.10.2012,2
06.10.2013,5
06.10.2016,13
06.10.2017,13
06.10.2018,4
06.10.2019,7
06.10.2020,7
06.10.2021,11
06.10.2022,14
06.10.2023,8
06.10.2025,22
06.11.2011,3
06.11.2012,8
06.11.2013,15
06.11.2016,3
06.11.2017,4
06.11.2018,7
06.11.2019,7
06.11.2020,6
06.11.2021,1
06.11.2022,7
06.11.2023,14
06.11.2024,8
06.11.2025,14
06.12.2011,14
06.12.2012,13
06.12.2013,12
06.12.2016,25
06.12.2017,19
06.12.2018,8
06.12.2019,13
06.12.2020,5
06.12.2021,26
06.12.2022,17
06.12.2023,16
06.12.2024,9
07.01.2011,8
07.01.2012,5
07.01.2013,11
07.01.2014,6
07.01.2017,6
07.01.2018,3
07.01.2019,5
07.01.2020,6
07.01.2022,3
07.01.2023,5
07.01.2025,2
07.02.2011,39
07.02.2012,29
07.02.2013,28
07.02.2014,17
07.02.2017,13
07.02.2018,16
07.02.2019,10
07.02.2020,6
07.02.2021,3
07.02.2022,10
07.02.2023,15
07.02.2024,10
07.02.2025,13
07.03.2011,25
07.03.2012,12
07.03.2013,14
07.03.2014,15
07.03.2017,14
07.03.2018,9
07.03.2019,5
07.03.2020,6
07.03.2021,54
07.03.2022,13
07.03.2023,15
07.03.2024,11
07.03.2025,6
07.04.2011,26
07.04.2012,3
07.04.2013,2
07.04.2014,16
07.04.2017,6
07.04.2018,5
07.04.2019,4
07.04.2020,3
07.04.2021,18
07.04.2022,9
07.04.2023,8
07.04.2025,16
07.05.2011,8
07.05.2012,11
07.05.2013,26
07.05.2014,16
07.05.2017,2
07.05.2018,13
07.05.2019,5
07.05.2020,3
07.05.2021,11
07.05.2022,7
07.05.2023,3
07.05.2024,9
07.05.2025,14
07.06.2011,20
07.06.2012,15
07.06.2013,13
07.06.2017,18
07.06.2018,11
07.06.2019,14
07.06.2020,2
07.06.2021,11
07.06.2022,5
07.06.2023,18
07.06.2024,9
07.06.2025,4
07.07.2011,16
07.07.2012,8
07.07.2013,6
07.07.2016,15
07.07.2017,10
07.07.2018,3
07.07.2019,3
07.07.2020,7
07.07.2021,13
07.07.2022,14
07.07.2023,16
07.07.2024,13
07.07.2025,6
07.08.2011,3
07.08.2012,8
07.08.2013,17
07.08.2016,7
07.08.2017,14
07.08.2018,11
07.08.2019,13
07.08.2020,6
07.08.2021,4
07.08.2022,3
07.08.2023,19
07.08.2024,9
07.08.2025,5
07.09.2011,14
07.09.2012,4
07.09.2013,7
07.09.2016,12
07.09.2017,12
07.09.2018,10
07.09.2019,6
07.09.2020,13
07.09.2021,9
07.09.2022,11
07.09.2023,7
07.09.2024,3
07.09.2025,3
07.10.2011,12
07.10.2012,1
07.10.2013,15
07.10.2016,17
07.10.2017,1
07.10.2018,5
07.10.2019,15
07.10.2020,9
07.10.2021,18
07.10.2022,11
07.10.2024,10
07.10.2025,7
07.11.2011,9
07.11.2012,5
07.11.2013,19
07.11.2016,15
07.11.2017,7
07.11.2018,8
07.11.2019,7
07.11.2020,2
07.11.2021,2
07.11.2022,14
07.11.2023,12
07.11.2024,7
07.11.2025,16
07.12.2011,15
07.12.2012,13
07.12.2013,7
07.12.2016,21
07.12.2017,11
07.12.2018,9
07.12.2019,7
07.12.2020,13
07.12.2021,17
07.12.2022,17
07.12.2023,20
07.12.2024,3
08.01.2011,18
08.01.2012,10
08.01.2013,15
08.01.2014,13
08.01.2017,7
08.01.2018,15
08.01.2019,15
08.01.2020,9
08.01.2021,4
08.01.2022,6
08.01.2023,3
08.01.2024,11
08.01.2025,7
08.02.2011,52
08.02.2012,18
08.02.2013,26
08.02.2014,6
08.02.2017,18
08.02.2018,14
08.02.2019,13
08.02.2020,5
08.02.2021,14
08.02.2022,11
08.02.2023,10
08.02.2024,17
08.02.2025,4
08.03.2011,18
08.03.2012,8
08.03.2013,12
08.03.2014,3
08.03.2017,6
08.03.2018,5
08.03.2019,4
08.03.2020,5
08.03.2021,11
08.03.2022,4
08.03.2023,9
08.03.2024,4
08.03.2025,5
08.04.2011,25
08.04.2012,3
08.04.2013,15
08.04.2014,29
08.04.2017,5
08.04.2018,3
08.04.2019,13
08.04.2020,4
08.04.2021,12
08.04.2022,6
08.04.2023,3
08.04.2024,7
08.04.2025,13
08.05.2011,3
08.05.2012,8
08.05.2013,17
08.05.2014,6
08.05.2017,11
08.05.2018,13
08.05.2019,15
08.05.2020,6
08.05.2021,3
08.05.2022,1
08.05.2023,8
08.05.2024,6
08.05.2025,16
08.06.2011,19
08.06.2012,10
08.06.2013,3
08.06.2017,11
08.06.2018,10
08.06.2019,6
08.06.2020,9
08.06.2021,15
08.06.2022,11
08.06.2023,16
08.06.2024,4
08.06.2025,4
08.07.2011,11
08.07.2012,2
08.07.2013,16
08.07.2016,12
08.07.2017,3
08.07.2018,8
08.07.2019,12
08.07.2020,14
08.07.2021,12
08.07.2022,14
08.07.2024,12
08.07.2025,9
08.08.2011,14
08.08.2012,8
08.08.2013,14
08.08.2016,11
08.08.2017,14
08.08.2018,12
08.08.2019,9
08.08.2020,1
08.08.2021,3
08.08.2022,26
08.08.2023,8
08.08.2024,12
08.08.2025,6
08.09.2011,13
08.09.2012,2
08.09.2013,6
08.09.2016,17
08.09.2017,11
08.09.2018,3
08.09.2019,6
08.09.2020,10
08.09.2021,9
08.09.2022,11
08.09.2023,13
08.09.2025,6
08.10.2011,6
08.10.2012,7
08.10.2013,14
08.10.2016,1
08.10.2017,8
08.10.2018,5
08.10.2019,11
08.10.2020,10
08.10.2021,11
08.10.2022,3
08.10.2023,3
08.10.2024,11
08.10.2025,14
08.11.2011,19
08.11.2012,7
08.11.2013,8
08.11.2016,13
08.11.2017,11
08.11.2018,8
08.11.2019,13
08.11.2020,3
08.11.2021,10
08.11.2022,11
08.11.2023,22
08.11.2024,7
08.11.2025,4
08.12.2011,18
08.12.2012,4
08.12.2013,3
08.12.2016,20
08.12.2017,15
08.12.2018,6
08.12.2019,3
08.12.2020,12
08.12.2021,30
08.12.2022,9
08.12.2023,13
08.12.2024,2
09.01.2011,12
09.01.2012,13
09.01.2013,24
09.01.2014,20
09.01.2017,16
09.01.2018,15
09.01.2019,10
09.01.2020,16
09.01.2021,5
09.01.2022,3
09.01.2023,20
09.01.2024,14
09.01.2025,7
09.02.2011,51
09.02.2012,17
09.02.2013,6
09.02.2014,7
09.02.2017,21
09.02.2018,14
09.02.2019,9
09.02.2020,5
09.02.2021,13
09.02.2022,9
09.02.2023,8
09.02.2024,14
09.02.2025,2
09.03.2011,32
09.03.2012,13
09.03.2013,4
09.03.2014,9
09.03.2017,18
09.03.2018,13
09.03.2019,8
09.03.2020,9
09.03.2021,82
09.03.2022,9
09.03.2023,15
09.03.2024,4
09.03.2025,4
09.04.2011,14
09.04.2013,11
09.04.2014,7
09.04.2017,7
09.04.2018,4
09.04.2019,7
09.04.2020,5
09.04.2021,5
09.04.2022,5
09.04.2023,3
09.04.2024,6
09.04.2025,1
09.05.2011,6
09.05.2012,10
09.05.2013,8
09.05.2014,8
09.05.2017,9
09.05.2018,10
09.05.2019,3
09.05.2020,3
09.05.2021,6
09.05.2022,5
09.05.2023,9
09.05.2024,9
09.05.2025,3
09.06.2011,11
09.06.2012,2
09.06.2013,6
09.06.2017,14
09.06.2018,5
09.06.2019,1
09.06.2020,12
09.06.2021,26
09.06.2022,13
09.06.2023,11
09.06.2024,3
09.06.2025,6
09.07.2011,5
09.07.2012,18
09.07.2013,16
09.07.2016,3
09.07.2017,9
09.07.2018,18
09.07.2019,12
09.07.2020,11
09.07.2021,18
09.07.2023,10
09.07.2024,6
09.07.2025,11
09.08.2011,15
09.08.2012,6
09.08.2013,12
09.08.2016,5
09.08.2017,16
09.08.2018,13
09.08.2019,9
09.08.2020,3
09.08.2021,20
09.08.2022,17
09.08.2023,7
09.08.2024,9
09.08.2025,6
09.09.2011,11
09.09.2012,1
09.09.2013,11
09.09.2016,14
09.09.2017,4
09.09.2018,5
09.09.2019,10
09.09.2020,10
09.09.2021,12
09.09.2022,12
09.09.2023,4
09.09.2024,11
09.09.2025,18
09.10.2011,2
09.10.2012,8
09.10.2013,11
09.10.2016,3
09.10.2017,12
09.10.2018,14
09.10.2019,13
09.10.2020,12
09.10.2021,6
09.10.2022,5
09.10.2023,12
09.10.2024,13
09.10.2025,8
09.11.2011,20
09.11.2012,13
09.11.2013,6
09.11.2016,19
09.11.2017,13
09.11.2018,10
09.11.2019,2
09.11.2020,11
09.11.2021,5
09.11.2022,12
09.11.2023,6
09.11.2024,3
09.11.2025,4
09.12.2011,14
09.12.2012,5
09.12.2013,22
09.12.2016,19
09.12.2017,4
09.12.2018,4
09.12.2019,17
09.12.2020,7
09.12.2021,21
09.12.2022,23
09.12.2023,3
09.12.2024,15
10.01.2011,61
10.01.2012,15
10.01.2013,18
10.01.2014,15
10.01.2017,23
10.01.2018,8
10.01.2019,12
10.01.2020,16
10.01.2021,3
10.01.2022,17
10.01.2023,9
10.01.2024,3
10.01.2025,6
10.02.2011,36
10.02.2012,13
10.02.2013,10
10.02.2014,28
10.02.2017,18
10.02.2018,5
10.02.2019,6
10.02.2020,9
10.02.2021,17
10.02.2022,14
10.02.2023,10
10.02.2024,4
10.02.2025,21
10.03.2011,31
10.03.2012,4
10.03.2013,6
10.03.2014,25
10.03.2017,17
10.03.2018,6
10.03.2019,4
10.03.2020,11
10.03.2021,49
10.03.2022,9
10.03.2023,16
10.03.2024,8
10.03.2025,13
10.04.2011,8
10.04.2012,14
10.04.2013,13
10.04.2014,23
10.04.2017,25
10.04.2018,13
10.04.2019,14
10.04.2020,1
10.04.2021,8
10.04.2022,7
10.04.2023,14
10.04.2024,13
10.04.2025,7
10.05.2011,17
10.05.2012,7
10.05.2013,12
10.05.2014,2
10.05.2017,11
10.05.2018,13
10.05.2019,13
10.05.2020,3
10.05.2021,15
10.05.2022,13
10.05.2023,10
10.05.2024,4
10.05.2025,3
10.06.2011,25
10.06.2012,6
10.06.2013,25
10.06.2017,4
10.06.2018,8
10.06.2019,10
10.06.2020,10
10.06.2021,18
10.06.2022,7
10.06.2023,4
10.06.2024,16
10.06.2025,11
10.07.2011,6
10.07.2012,13
10.07.2013,8
10.07.2016,6
10.07.2017,18
10.07.2018,10
10.07.2019,9
10.07.2020,10
10.07.2021,9
10.07.2022,4
10.07.2023,20
10.07.2024,9
10.07.2025,8
10.08.2011,12
10.08.2012,7
10.08.2013,3
10.08.2016,17
10.08.2017,17
10.08.2018,9
10.08.2019,4
10.08.2020,6
10.08.2021,18
10.08.2022,15
10.08.2023,17
10.08.2025,2
10.09.2011,1
10.09.2012,7
10.09.2013,17
10.09.2016,9
10.09.2017,10
10.09.2018,11
10.09.2019,4
10.09.2020,14
10.09.2021,12
10.09.2022,1
10.09.2023,1
10.09.2024,18
10.09.2025,14
10.10.2011,19
10.10.2012,13
10.10.2013,13
10.10.2016,18
10.10.2017,16
10.10.2018,11
10.10.2019,12
10.10.2020,5
10.10.2021,4
10.10.2022,12
10.10.2023,12
10.10.2024,7
10.10.2025,13
10.11.2011,20
10.11.2012,6
10.11.2013,3
10.11.2016,23
10.11.2017,9
10.11.2018,4
10.11.2019,4
10.11.2020,7
10.11.2021,11
10.11.2022,12
10.11.2023,11
10.11.2024,4
10.11.2025,13
10.12.2011,6
10.12.2012,11
10.12.2013,23
10.12.2016,11
10.12.2017,6
10.12.2018,16
10.12.2019,7
10.12.2020,7
10.12.2021,19
10.12.2022,5
10.12.2023,2
10.12.2024,6
11.01.2011,59
11.01.2012,32
11.01.2013,8
11.01.2014,12
11.01.2017,16
11.01.2018,10
11.01.2019,15
11.01.2020,7
11.01.2021,7
11.01.2022,15
11.01.2023,10
11.01.2024,14
11.01.2025,3
11.02.2011,48
11.02.2012,4
11.02.2013,29
11.02.2014,18
11.02.2017,6
11.02.2018,6
11.02.2019,13
11.02.2020,13
11.02.2021,15
11.02.2022,18
11.02.2023,7
11.02.2024,2
11.02.2025,12
11.03.2011,30
11.03.2012,4
11.03.2013,23
11.03.2014,23
11.03.2017,3
11.03.2018,3
11.03.2019,19
11.03.2020,8
11.03.2021,38
11.03.2022,9
11.03.2023,5
11.03.2024,20
